"t / s";"CH1 / V";"CH2 / V";"f / Hz";"SP1 / dB";"SP2 / dB"
0,000284;0,327273;2,47677;14.200;-27,1929;-60
0,000285;0,335354;2,48081;14.250;-30,3288;-60
0,000286;0,335354;2,47677;14.300;-58,3189;-60
0,000287;0,335354;2,48485;14.350;-60;-60
0,000288;0,339394;2,48081;14.400;-60;-60
0,000289;0,335354;2,48485;14.450;-60;-60
0,00029;0,335354;2,49293;14.500;-60;-60
0,000291;0,331313;2,47677;14.550;-60;-60
0,000292;0,335354;2,48485;14.600;-59,6407;-60
0,000293;0,335354;2,47677;14.650;-33,203;-60
0,000294;0,343434;2,47677;14.700;-24,9184;-60
0,000295;0,331313;2,48485;14.750;-31,1899;-60
0,000296;0,339394;2,48889;14.800;-60;-60
0,000297;0,335354;2,48485;14.850;-60;-60
0,000298;0,343434;2,47677;14.900;-60;-60
0,000299;0,339394;2,47273;14.950;-60;-60
0,0003;0,339394;2,48081;15.000;-60;-60
0,000301;0,335354;2,48081;15.050;-60;-60
0,000302;0,339394;2,48485;15.100;-60;-60
0,000303;0,335354;2,48889;15.150;-33,0475;-60
0,000304;0,331313;2,47677;15.200;-28,1635;-60
0,000305;0,347475;2,48485;15.250;-37,2084;-60
0,000306;0,339394;2,47677;15.300;-60;-60
0,000307;0,343434;2,49293;15.350;-60;-60
0,000308;0,339394;2,49293;15.400;-60;-60
0,000309;0,331313;2,48889;15.450;-60;-60
0,00031;0,347475;2,48485;15.500;-60;-60
0,000311;0,343434;2,47677;15.550;-60;-60
0,000312;0,335354;2,48081;15.600;-49,7264;-60
0,000313;0,331313;2,46869;15.650;-28,2229;-60
0,000314;0,327273;2,46869;15.700;-25,785;-60
0,000315;0,339394;2,48081;15.750;-39,3197;-60
0,000316;0,323232;2,48485;15.800;-60;-60
0,000317;0,335354;2,48485;15.850;-60;-60
0,000318;0,339394;2,48081;15.900;-60;-60
0,000319;0,343434;2,47677;15.950;-60;-60
0,00032;0,339394;2,48485;16.000;-60;-60
0,000321;0,339394;2,48889;16.050;-60;-60
0,000322;0,335354;2,48081;16.100;-47,8275;-60
0,000323;0,335354;2,48485;16.150;-30,7041;-60
0,000324;0,339394;2,47677;16.200;-31,3454;-60
0,000325;0,335354;2,48081;16.250;-48,3198;-60
0,000326;0,347475;2,48081;16.300;-60;-60
0,000327;0,335354;2,48889;16.350;-60;-60
0,000328;0,343434;2,48485;16.400;-60;-60
0,000329;0,335354;2,48081;16.450;-60;-60
0,00033;0,331313;2,48485;16.500;-60;-60
0,000331;0,335354;2,48485;16.550;-60;-60
0,000332;0,339394;2,48081;16.600;-37,4443;-60
0,000333;0,339394;2,47677;16.650;-25,8145;-60
0,000334;0,331313;2,48081;16.700;-28,8766;-60
0,000335;0,327273;2,48485;16.750;-56,6242;-60
0,000336;0,335354;2,48081;16.800;-60;-60
0,000337;0,331313;2,47273;16.850;-60;-60
0,000338;0,331313;2,49697;16.900;-60;-60
0,000339;0,335354;2,48485;16.950;-60;-60
0,00034;0,343434;2,48889;17.000;-60;-60
0,000341;0,327273;2,49293;17.050;-60;-60
0,000342;0,335354;2,47677;17.100;-39,1686;-60
0,000343;0,335354;2,48889;17.150;-30,7228;-60
0,000344;0,331313;2,48485;17.200;-36,9453;-60
0,000345;0,335354;2,48081;17.250;-60;-60
0,000346;0,339394;2,47677;17.300;-60;-60
0,000347;0,331313;2,47677;17.350;-60;-60
0,000348;0,335354;2,48485;17.400;-60;-60
0,000349;0,335354;2,48485;17.450;-60;-60
0,00035;0,335354;2,48081;17.500;-60;-60
0,000351;0,343434;2,48889;17.550;-60;-60
