"t / s";"CH1 / V";"CH2 / V";"f / Hz";"SP1 / dB";"SP2 / dB"
0,000474;5,13131;5,25253;23.700;-60;-60
0,000475;5,13131;5,25253;23.750;-60;-60
0,000476;5,13131;5,25253;23.800;-60;-60
0,000477;5,13131;5,25253;23.850;-60;-60
0,000478;5,13131;5,25253;23.900;-60;-60
0,000479;5,13131;5,25253;23.950;-60;-60
0,00048;5,12727;5,25253;24.000;-51,2769;-60
0,000481;5,13131;5,25253;24.050;-56,3019;-60
0,000482;5,13131;5,23232;24.100;-60;-60
0,000483;5,13131;5,23232;24.150;-60;-60
0,000484;5,13131;5,21212;24.200;-60;-60
0,000485;5,13131;5,25253;24.250;-60;-60
0,000486;5,13131;5,25253;24.300;-60;-60
0,000487;5,13131;5,25253;24.350;-60;-60
0,000488;5,13131;5,25253;24.400;-60;-60
0,000489;5,13131;5,23232;24.450;-36,5931;-60
0,00049;5,13131;5,23232;24.500;-27,396;-60
0,000491;5,13131;5,25253;24.550;-33,2696;-60
0,000492;4,81616;5,25253;24.600;-60;-60
0,000493;0,4;5,25253;24.650;-60;-60
0,000494;0,387879;5,17172;24.700;-60;-60
0,000495;0,39596;5,25253;24.750;-60;-60
0,000496;0,387879;5,23232;24.800;-60;-60
0,000497;0,375758;5,25253;24.850;-60;-60
0,000498;0,367677;5,21212;24.900;-60;-60
0,000499;0,363636;5,23232;24.950;-60;-60
0,0005;0,367677;5,21212;25.000;-60;-60
0,000501;0,367677;5,21212;25.050;-60;-60
0,000502;0,367677;5,23232;25.100;-60;-60
0,000503;0,363636;5,23232;25.150;-60;-60
0,000504;0,363636;5,23232;25.200;-60;-60
0,000505;0,363636;5,21212;25.250;-60;-60
0,000506;0,363636;5,23232;25.300;-60;-60
0,000507;0,363636;5,21212;25.350;-60;-60
0,000508;0,359596;5,21212;25.400;-54,2677;-60
0,000509;0,363636;5,21212;25.450;-31,2765;-60
0,00051;0,363636;5,23232;25.500;-28,2706;-60
0,000511;0,363636;5,25253;25.550;-40,935;-60
0,000512;0,363636;5,23232;25.600;-60;-60
