"t / s";"CH1 / V";"CH2 / V";"f / Hz";"SP1 / dB";"SP2 / dB"
0,000378;5,13131;0,40404;18.900;-60;-51,8163
0,000379;5,13131;0,525253;18.950;-60;-49,7538
0,00038;5,13131;0,525253;19.000;-60;-59,0912
0,000381;5,13131;0,606061;19.050;-46,2044;-40,4539
0,000382;5,13131;0,565657;19.100;-34,4008;-28,0608
0,000383;5,13131;0,444444;19.150;-37,2888;-31,6144
0,000384;5,13131;0,565657;19.200;-60;-53,2098
0,000385;5,13131;0,484848;19.250;-60;-51,0908
0,000386;5,13131;0,484848;19.300;-60;-52,8144
0,000387;5,13131;0,444444;19.350;-60;-60
0,000388;5,13131;0,525253;19.400;-60;-54,5905
0,000389;5,13131;0,525253;19.450;-60;-54,1806
0,00039;5,13131;0,525253;19.500;-60;-59,4982
0,000391;5,13131;0,565657;19.550;-34,7957;-25,1919
0,000392;5,13131;0,525253;19.600;-25,9094;-16,5161
0,000393;5,13131;0,565657;19.650;-32,1073;-22,8498
0,000394;5,13131;0,525253;19.700;-60;-60
0,000395;5,13131;0,525253;19.750;-60;-49,1212
0,000396;5,13131;0,525253;19.800;-60;-49,212
0,000397;5,13131;0,646465;19.850;-60;-60
0,000398;5,13131;0,525253;19.900;-60;-51,7953
0,000399;5,13131;0,484848;19.950;-60;-50,1419
0,0004;5,13131;0,646465;20.000;-60;-56,1653
0,000401;5,13131;0,565657;20.050;-41,5529;-31,5105
0,000402;5,13131;0,565657;20.100;-35,6536;-26,1332
0,000403;5,13131;0,444444;20.150;-45,3949;-35,3678
0,000404;5,13131;0,565657;20.200;-60;-55,1221
0,000405;5,13131;0,484848;20.250;-60;-51,467
0,000406;5,13131;0,565657;20.300;-60;-58,931
0,000407;5,13131;0,484848;20.350;-60;-57,0453
0,000408;5,13131;0,606061;20.400;-60;-53,4962
0,000409;5,13131;0,484848;20.450;-60;-58,0932
0,00041;5,13131;0,525253;20.500;-52,1129;-42,373
0,000411;5,13131;0,686869;20.550;-29,491;-20,1783
0,000412;5,13131;0,646465;20.600;-26,8187;-17,428
0,000413;5,13131;0,525253;20.650;-39,7942;-30,841
0,000414;5,13131;0,484848;20.700;-60;-57,9505
0,000415;5,13131;0,484848;20.750;-60;-54,3397
0,000416;5,13131;0,484848;20.800;-60;-53,9963
0,000417;5,13131;0,646465;20.850;-60;-54,1681
0,000418;5,13131;0,565657;20.900;-60;-50,9701
0,000419;5,13131;0,565657;20.950;-60;-53,4247
0,00042;5,13131;0,525253;21.000;-54,6178;-44,0244
0,000421;5,13131;0,484848;21.050;-39,8033;-26,5574
0,000422;5,13131;0,484848;21.100;-39,4047;-26,9428
0,000423;5,13131;0,484848;21.150;-59,9637;-43,927
0,000424;5,13131;0,606061;21.200;-60;-55,8986
0,000425;5,13131;0,606061;21.250;-60;-54,6711
0,000426;5,13131;0,606061;21.300;-60;-60
0,000427;5,13131;0,525253;21.350;-60;-55,2324
0,000428;5,13131;0,606061;21.400;-60;-52,3438
0,000429;5,13131;0,444444;21.450;-60;-60
0,00043;5,13131;0,40404;21.500;-39,6767;-30,0802
0,000431;5,13131;0,525253;21.550;-26,9693;-17,5801
0,000432;5,13131;0,525253;21.600;-30,0272;-20,62
0,000433;5,13131;0,525253;21.650;-52,9959;-44,8884
0,000434;5,13131;0,646465;21.700;-60;-56,1502
0,000435;5,13131;0,565657;21.750;-60;-60
0,000436;5,13131;0,606061;21.800;-60;-59,767
0,000437;5,13131;0,565657;21.850;-60;-55,2813
0,000438;5,13131;0,484848;21.900;-60;-49,6766
0,000439;5,13131;0,565657;21.950;-60;-55,2681
0,00044;5,13131;0,606061;22.000;-49,472;-32,6903
0,000441;5,13131;0,525253;22.050;-40,6919;-23,9628
0,000442;5,13131;0,646465;22.100;-46,4545;-30,3347
0,000443;5,13131;0,606061;22.150;-60;-55,259
0,000444;5,13131;0,40404;22.200;-60;-51,8274
0,000445;5,13131;0,646465;22.250;-60;-56,8165
0,000446;5,13131;0,565657;22.300;-60;-58,6067
0,000447;5,13131;0,484848;22.350;-60;-53,5826
0,000448;5,13131;0,565657;22.400;-60;-54,4416
0,000449;5,13131;0,525253;22.450;-60;-50,0468
0,00045;5,13131;0,525253;22.500;-32,5662;-23,1721
0,000451;5,13131;0,606061;22.550;-26,7448;-17,4084
0,000452;5,13131;0,484848;22.600;-35,9746;-26,7276
0,000453;5,13131;0,606061;22.650;-60;-60
0,000454;5,13131;0,565657;22.700;-60;-56,263
0,000455;5,13131;0,565657;22.750;-60;-53,9385
0,000456;5,13131;0,606061;22.800;-60;-58,848
0,000457;5,13131;0,646465;22.850;-60;-54,3269
0,000458;5,13131;0,525253;22.900;-60;-49,7613
0,000459;5,13131;0,606061;22.950;-60;-49,6049
0,00046;5,13131;0,484848;23.000;-48,1055;-26,7234
0,000461;5,13131;0,606061;23.050;-44,3568;-24,0626
0,000462;5,13131;0,484848;23.100;-59,8663;-36,6875
0,000463;5,13131;0,444444;23.150;-60;-58,1831
0,000464;5,13131;0,565657;23.200;-60;-51,2466
